"Source","Target","Type"
"414977","594437","directed"
"46651","488269","directed"
"560166","104256","directed"
"20289","181888","directed"
"624953","216235","directed"
"872692","515870","directed"
"795550","390067","directed"
"554651","423645","directed"
"567950","172617","directed"
"976245","386533","directed"
"719045","395069","directed"
"152384","930988","directed"
"257016","152306","directed"
"235053","37750","directed"
"42240","35619","directed"
"28400","872692","directed"
"554651","35619","directed"
"639309","940769","directed"
"574996","409700","directed"
"561481","624953","directed"
"719045","42240","directed"
"560166","389100","directed"
"624953","174221","directed"
"871536","771535","directed"
"304354","385871","directed"
"624953","672687","directed"
"949803","933161","directed"
"257912","515870","directed"
"877738","517906","directed"
"304354","853287","directed"
"216235","349445","directed"
"624953","515870","directed"
"149274","716278","directed"
"836419","152306","directed"
"386533","598170","directed"
"602209","515870","directed"
"942164","991938","directed"
"12503","239311","directed"
"362250","515870","directed"
"205667","515870","directed"
"945474","517906","directed"
"949803","515870","directed"
"103760","515870","directed"
"572043","153528","directed"
"361927","103760","directed"
"876130","11243","directed"
"387579","515870","directed"
"181888","515870","directed"
"805051","515870","directed"
"832631","515870","directed"
"851217","308447","directed"
"46651","515870","directed"
"20289","349445","directed"
"991938","515870","directed"
"901708","991938","directed"
"70484","517906","directed"
"820309","385871","directed"
"153528","515870","directed"
"326017","515870","directed"
"531208","515870","directed"
"126811","515870","directed"
"299996","515870","directed"
"522016","37750","directed"
"70094","515870","directed"
"96632","11243","directed"
"572043","517906","directed"
"389100","876130","directed"
"174221","420520","directed"
"877357","515870","directed"
"561481","168999","directed"
"851217","713941","directed"
"90948","938675","directed"
"820309","853287","directed"
"149274","679204","directed"
"531208","75046","directed"
"949803","838513","directed"
"871536","515870","directed"
"969369","651618","directed"
"572043","877738","directed"
"456962","881969","directed"
"871536","167455","directed"
"969369","962816","directed"
"877357","308447","directed"
"70094","11243","directed"
"876130","55994","directed"
"517906","498159","directed"
"11243","289784","directed"
"216235","384312","directed"
"640007","836419","directed"
"309114","435061","directed"
"326017","572501","directed"
"232688","436608","directed"
"116468","136687","directed"
"454150","605538","directed"
"126811","710194","directed"
"842601","933161","directed"
"299996","46651","directed"
"480898","881969","directed"
"962816","205667","directed"
"567950","842601","directed"
"765152","572602","directed"
"617278","11243","directed"
"361927","386533","directed"
"838513","874850","directed"
"456962","423645","directed"
"517906","308447","directed"
"719045","765152","directed"
"869954","55994","directed"
"560166","678955","directed"
"498159","37750","directed"
"871449","260584","directed"
"216235","152384","directed"
"540972","696922","directed"
"640007","871536","directed"
"241716","362750","directed"
"28400","390067","directed"
"942164","37750","directed"
"740163","260584","directed"
"126811","848099","directed"
"299996","922383","directed"
"572602","765152","directed"
"945474","37750","directed"
"949803","203200","directed"
"765152","205667","directed"
"871536","11243","directed"
"103760","361927","directed"
"75046","35619","directed"
"286315","384312","directed"
"327686","942164","directed"
"876130","37750","directed"
"168999","326017","directed"
"838513","37750","directed"
"177868","598170","directed"
"805051","258497","directed"
"742228","871892","directed"
"851217","991938","directed"
"257016","838513","directed"
"11243","871449","directed"
"991938","901708","directed"
"216235","286315","directed"
"541544","439432","directed"
"848099","832631","directed"
"640007","362750","directed"
"260584","390067","directed"
"200826","488269","directed"
"836419","90948","directed"
"895303","618617","directed"
"748784","842601","directed"
"795550","456962","directed"
"946801","848099","directed"
"390067","833933","directed"
"362250","55994","directed"
"962816","779990","directed"
"515870","37750","directed"
"765152","46651","directed"
"575303","598170","directed"
"75046","325218","directed"
"361927","572602","directed"
"933161","991938","directed"
"938675","613715","directed"
"833933","456962","directed"
"871892","144961","directed"
"414977","457610","directed"
"719045","853287","directed"
"42240","70484","directed"
"289784","722859","directed"
"149274","876130","directed"
"836419","976245","directed"
"386533","11243","directed"
"580877","361927","directed"
"795550","853287","directed"
"42569","42240","directed"
"942164","765152","directed"
"390067","28400","directed"
"362250","37750","directed"
"348251","436608","directed"
"716278","613715","directed"
"874850","832516","directed"
"876130","167455","directed"
"174221","678955","directed"
"832631","696922","directed"
"719045","419766","directed"
"752955","832631","directed"
"149274","881969","directed"
"771908","37750","directed"
"35619","944880","directed"
"205667","933161","directed"
"572602","848099","directed"
"255700","12503","directed"
"389100","771908","directed"
"877738","42240","directed"
"387579","574996","directed"
