"ID","Ego","Hear","Attend","Seed","Tribe"
"55994","55994","Y","N","0","ATESO"
"257912","257912","Y","N","0","ATESO"
"876130","876130","Y","N","0","ATESO"
"168999","168999","Y","N","0","ATESO"
"389100","389100","N","N","0","ATESO"
"838513","838513","N","N","0","ATESO"
"456962","456962","N","N","0","ATESO"
"877738","877738","Y","N","0","ATESO"
"613715","613715","Y","N","0","ATESO"
"457610","457610","N","N","0","ATESO"
"651618","651618","N","N","0","ATESO"
"387579","387579","N","N","0","ATESO"
"517906","517906","N","N","0","ATESO"
"181888","181888","Y","N","0","ATESO"
"833933","833933","N","N","0","ATESO"
"574996","574996","N","N","0","ATESO"
"871892","871892","Y","N","0","ATESO"
"994130","994130","Y","N","0","ATESO"
"174221","174221","N","N","0","ATESO"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"177868","177868","N","N","0","ATESO"
"805051","805051","Y","N","0","ATESO"
"686816","686816","Y","N","0","ATESO"
"652188","652188","Y","N","0","ATESO"
"432106","432106","N","N","0","ATESO"
"842928","842928","N","N","0","ATESO"
"605538","605538","Y","N","0","ATESO"
"258497","258497","N","N","0","ATESO"
"618617","618617","N","N","0","ATESO"
"877357","877357","N","N","0","ATESO"
"832631","832631","Y","N","0",NA
"238618","238618","Y","N","0","ATESO"
"561481","561481","N","N","0","ATESO"
"930594","930594","Y","N","0","ATESO"
"696922","696922","N","N","0",NA
"742228","742228","Y","N","0","KUMAM"
"414977","414977","Y","N","0","ATESO"
"976245","976245","Y","N","0","ATESO"
"961478","961478","Y","N","0","ATESO"
"719045","719045","N","N","0","ATESO"
"851217","851217","Y","N","0","ATESO"
"90948","90948","Y","N","0","ATESO"
"46651","46651",NA,"N","0","ATESO"
"219795","219795","Y","N","0","ATESO"
"257783","257783","N","N","0","ATESO"
"869954","869954","Y","N","0","ATESO"
"930988","930988",NA,NA,"0",NA
"304354","304354","Y","N","0","ATESO"
"560166","560166","N","N","0","ATESO"
"183868","183868","Y","N","0","ATESO"
"152384","152384","Y","N","0","ATESO"
"136687","136687","Y","N","0","ATESO"
"887316","887316","Y","N","0","ATESO"
"911187","911187","Y","N","1","ATESO"
"810605","810605",NA,NA,"0",NA
"37750","37750","Y","N","1","ATESO"
"20289","20289","Y","N","0","OTHER"
"104256","104256","Y","N","0",NA
"87855","87855","Y","N","0","ATESO"
"722056","722056","Y","N","0","OTHER"
"498159","498159","N","N","0","ATESO"
"257016","257016","N","N","0","ATESO"
"235053","235053","N","N","0","ATESO"
"11243","11243","Y","N","0","ATESO"
"991938","991938","N","N","0","ATESO"
"901708","901708","N","N","0","ATESO"
"385871","385871","Y","N","0","ATESO"
"468659","468659","Y","N","0","ATESO"
