"ID","Ego","Hear","Attend","Seed","Tribe"
"969151","969151","N","N","0","ATESO"
"513827","513827","N","N","0","KUMAM"
"91129","91129","N","N","0","KUMAM"
"834082","834082","Y","N","0","ATESO"
"438804","438804","N","N","0","ATESO"
"693758","693758","N","N","0","ATESO"
"13818","13818","N","N","0","ATESO"
"905853","905853","N","N","0","ATESO"
"414545","414545","N","N","1","ATESO"
"751967","751967","Y","N","1","ATESO"
"443509","443509","N","N","0","KUMAM"
"422869","422869","N","N","0","KUMAM"
"501310","501310","N","N","0","KUMAM"
"882569","882569","N","N","0","KUMAM"
"814457","814457","Y","N","1","KUMAM"
"362115","362115","N","N","0","KUMAM"
"329156","329156","N","N","0","ATESO"
"715193","715193","N","N","0","ATESO"
"803771","803771","N","N","0","ATESO"
"795425","795425","N","N","0","ATESO"
"717952","717952","N","N","0","ATESO"
"536531","536531","N","N","0","ATESO"
"913588","913588","Y","N","0","KUMAM"
"320870","320870","Y","N","0","ATESO"
"425589","425589","N","N","0","ATESO"
"801162","801162","N","N","0","ATESO"
"942333","942333","N","N","0","ATESO"
"503345","503345","N","N","0","ATESO"
"964714","964714","N","N","0","ATESO"
"24807","24807","N","N","0","ATESO"
"225652","225652","N","N","0","ATESO"
"124016","124016","Y","N","0","KUMAM"
"639538","639538","N","N","0","ATESO"
"650797","650797","N","N","0","ATESO"
"448660","448660","Y","N","0","ATESO"
"288143","288143","N","N","0","ATESO"
"558677","558677","N","N","0","KUMAM"
"23779","23779","N","N","0","ATESO"
"324023","324023","N","N","0","KUMAM"
"850171","850171","N","N","0","ATESO"
"945210","945210","Y","N","0","KUMAM"
"504089","504089","Y","N","1","ATESO"
"566902","566902","N","N","0","ATESO"
"202380","202380","N","N","0","KUMAM"
"24893","24893","N","N","0","ATESO"
"200366","200366","N","N","0","ATESO"
"593280","593280","Y","N","0","KUMAM"
"264541","264541","N","N","0","ATESO"
"19948","19948","N","N","0","RUNYANKOLE"
"811989","811989","N","N","0","KUMAM"
"617807","617807","N","N","0","KUMAM"
"906426","906426","N","N","0","KUMAM"
"745016","745016","N","N","0","ATESO"
"859133","859133","N","N","0","ATESO"
"604268","604268","Y","N","0","ATESO"
"426216","426216","N","N","0","ATESO"
"675736","675736","N","N","0","ATESO"
"826549","826549","N","N","0","KUMAM"
"868942","868942","N","N","0","ATESO"
"997185","997185","Y","N","0","KUMAM"
"334082","334082","N","N","0","ATESO"
