"Source","Target","Type"
"541436","906426","directed"
"433747","801081","directed"
"600616","905225","directed"
"614804","850171","directed"
"978082","593437","directed"
"215877","225652","directed"
"522712","377960","directed"
"91129","333119","directed"
"834082","619067","directed"
"438804","92387","directed"
"693758","481615","directed"
"13818","362115","directed"
"329156","24893","directed"
"715193","751967","directed"
"803771","906426","directed"
"795425","717952","directed"
"536531","915763","directed"
"425589","564972","directed"
"801162","751967","directed"
"964714","801162","directed"
"24807","92387","directed"
"124016","351593","directed"
"650797","481615","directed"
"448660","715193","directed"
"288143","847450","directed"
"200366","868942","directed"
"593280","414545","directed"
"264541","675338","directed"
"617807","89660","directed"
"906426","915763","directed"
"859133","344588","directed"
"868942","617807","directed"
"997185","66409","directed"
"661346","124016","directed"
"848163","745851","directed"
"377960","28346","directed"
"170293","554547","directed"
"992887","28346","directed"
"80580","598537","directed"
"810357","522712","directed"
"677071","942333","directed"
"353365","840114","directed"
"354918","333119","directed"
"574248","512295","directed"
"144641","564972","directed"
"221970","13818","directed"
"37857","675338","directed"
"680270","436308","directed"
"417812","436308","directed"
"254178","677187","directed"
"365873","881562","directed"
"552352","983911","directed"
"847450","221970","directed"
"564972","915763","directed"
"702776","222890","directed"
"760218","779189","directed"
"779189","381108","directed"
"905225","978082","directed"
"983911","915053","directed"
"66409","617807","directed"
"337498","746225","directed"
"687949","748836","directed"
"283977","824799","directed"
"331649","513085","directed"
"372752","512295","directed"
"541436","564972","directed"
"92387","24807","directed"
"78408","905225","directed"
"614804","868942","directed"
"381108","779189","directed"
"793531","871052","directed"
"522712","810357","directed"
"91129","513827","directed"
"438804","913588","directed"
"693758","574421","directed"
"751967","144641","directed"
"715193","448660","directed"
"803771","456343","directed"
"536531","834082","directed"
"801162","997185","directed"
"964714","983911","directed"
"124016","870395","directed"
"639538","24893","directed"
"448660","13818","directed"
"288143","972909","directed"
"200366","270340","directed"
"593280","915763","directed"
"264541","169005","directed"
"997185","983911","directed"
"334082","334082","directed"
"229478","24893","directed"
"846910","592632","directed"
"405789","202380","directed"
"146129","652356","directed"
"399971","882540","directed"
"365873","593437","directed"
"551087","63149","directed"
"731264","456343","directed"
"915053","504089","directed"
"344588","746225","directed"
"66409","202380","directed"
"687949","745851","directed"
"987283","391522","directed"
"550629","28346","directed"
"600616","450962","directed"
"363767","881562","directed"
"414545","906426","directed"
"24807","176996","directed"
"566902","24893","directed"
"811989","391522","directed"
"377960","604268","directed"
"229478","586360","directed"
"354918","983911","directed"
"272097","990830","directed"
"405789","748836","directed"
"146129","334082","directed"
"100290","225652","directed"
"593437","337498","directed"
"983911","746225","directed"
"519834","450962","directed"
"801081","504089","directed"
"381108","881562","directed"
"414545","593280","directed"
"329156","436308","directed"
"715193","351593","directed"
"24807","997185","directed"
"24893","329156","directed"
"628294","425589","directed"
"166002","507088","directed"
"574421","254178","directed"
"146129","983911","directed"
"561445","850171","directed"
"399971","438804","directed"
"343449","593280","directed"
"748836","748836","directed"
"222890","997185","directed"
"450962","745016","directed"
"270798","23779","directed"
"619067","351593","directed"
"372752","677187","directed"
"550629","337498","directed"
"222202","202380","directed"
"414545","915763","directed"
"362115","78408","directed"
"964714","602472","directed"
"24893","91129","directed"
"859133","994721","directed"
"377960","652356","directed"
"731890","677187","directed"
"846910","566506","directed"
"990830","399971","directed"
"593437","365873","directed"
"915053","202380","directed"
"344588","994721","directed"
"66409","356738","directed"
"519834","868942","directed"
"870395","513827","directed"
"654967","868942","directed"
"550629","748836","directed"
"600616","978082","directed"
"881562","365873","directed"
"801081","628294","directed"
"522712","574248","directed"
"574248","169005","directed"
"28346","550629","directed"
"593437","881562","directed"
"351593","619067","directed"
"983911","202380","directed"
"337498","745851","directed"
"550629","566902","directed"
"964714","997185","directed"
"566902","593437","directed"
"24893","994721","directed"
"811989","24807","directed"
"997185","850171","directed"
"628294","381108","directed"
"168535","564972","directed"
"512295","779189","directed"
"795987","564972","directed"
"810357","381108","directed"
"131517","564972","directed"
"507088","953946","directed"
"333119","564972","directed"
"687704","28346","directed"
"365873","381108","directed"
"552352","381108","directed"
"11114","566902","directed"
"748836","381108","directed"
"522063","381108","directed"
"522326","381108","directed"
"327832","745016","directed"
"331649","353365","directed"
"598537","564972","directed"
"388831","381108","directed"
"600616","868942","directed"
"222202","564972","directed"
"566506","564972","directed"
"834082","564972","directed"
"414545","438804","directed"
"422869","144641","directed"
"501310","882569","directed"
"448660","381108","directed"
"566902","868942","directed"
"906426","702776","directed"
"992887","202380","directed"
"600071","381108","directed"
"810357","745016","directed"
"645192","28346","directed"
"333119","868942","directed"
"37857","731264","directed"
"100290","564972","directed"
"616527","456343","directed"
"848426","75315","directed"
"365873","745016","directed"
"552352","564972","directed"
"343449","564972","directed"
"592632","564972","directed"
"593437","564972","directed"
"746225","381108","directed"
"66409","564972","directed"
"327832","381108","directed"
"687949","587123","directed"
"550629","564972","directed"
"881562","381108","directed"
"381108","334082","directed"
"978082","564972","directed"
"414545","513827","directed"
"717952","24893","directed"
"848163","564972","directed"
"628294","202380","directed"
"168535","324023","directed"
"561445","881562","directed"
"89660","78408","directed"
"616527","906426","directed"
"848426","745851","directed"
"365873","564972","directed"
"592632","381108","directed"
"11114","11114","directed"
"915053","564972","directed"
"905225","78408","directed"
"748836","604268","directed"
"450962","564972","directed"
"541436","481615","directed"
"909603","381108","directed"
"614804","202380","directed"
"421575","731264","directed"
"222202","132004","directed"
"414545","405789","directed"
"448660","564972","directed"
"566902","745016","directed"
"89023","564972","directed"
"616527","277050","directed"
"564972","619067","directed"
"592632","351593","directed"
"675338","215877","directed"
"456343","405789","directed"
"414545","456343","directed"
"814457","254178","directed"
"536531","564972","directed"
"89023","906426","directed"
"456343","222890","directed"
"222202","868942","directed"
"443509","564972","directed"
"848163","882540","directed"
"377960","746225","directed"
"953946","661346","directed"
"547231","972909","directed"
"222865","748836","directed"
"382029","748836","directed"
"132004","277050","directed"
"481615","89660","directed"
"574248","586360","directed"
"702776","963814","directed"
"270340","593280","directed"
"619067","645192","directed"
"675338","388831","directed"
"541436","89660","directed"
"978082","748836","directed"
"513827","906426","directed"
"438804","288143","directed"
"751967","964714","directed"
"362115","558677","directed"
"536531","518728","directed"
"425589","80580","directed"
"558677","362115","directed"
"202380","124016","directed"
"604268","202380","directed"
"953946","566506","directed"
"547231","391522","directed"
"170293","388831","directed"
"385058","351593","directed"
"512295","566902","directed"
"602472","677187","directed"
"922490","436308","directed"
"354918","377960","directed"
"687750","80580","directed"
"645192","619067","directed"
"272097","388831","directed"
"935557","511805","directed"
"882540","78408","directed"
"680270","399971","directed"
"554547","518728","directed"
"592632","972909","directed"
"748836","745016","directed"
"522063","687704","directed"
"222890","158595","directed"
"541436","748836","directed"
"381108","616527","directed"
"222202","592632","directed"
"566506","870395","directed"
"443509","438804","directed"
"715193","617807","directed"
"942333","24807","directed"
"124016","80580","directed"
"288143","399971","directed"
"617807","746225","directed"
"334082","677187","directed"
"661346","870395","directed"
"677187","518728","directed"
"385058","661346","directed"
"600071","637682","directed"
"391522","80580","directed"
"677071","518728","directed"
"277050","100290","directed"
"645192","78910","directed"
"89660","438804","directed"
"37857","592632","directed"
"552352","967300","directed"
"158595","222890","directed"
"592632","547231","directed"
"748836","382029","directed"
"619067","80580","directed"
"600616","438804","directed"
"566506","972909","directed"
"414545","333119","directed"
"443509","513827","directed"
"801162","333119","directed"
"200366","23779","directed"
"593280","990830","directed"
"906426","513827","directed"
"385058","972909","directed"
"512295","372752","directed"
"176996","564972","directed"
"449452","80580","directed"
"89023","566902","directed"
"399971","574248","directed"
"908535","745016","directed"
"564972","270340","directed"
"737247","587123","directed"
"337498","365873","directed"
"748836","848163","directed"
"522326","399971","directed"
"675338","169005","directed"
"283977","363767","directed"
"598537","89660","directed"
"614804","978082","directed"
"381108","731264","directed"
"420471","270798","directed"
"522712","511805","directed"
"414545","320870","directed"
"801162","176996","directed"
"945210","13818","directed"
"385058","391522","directed"
"602472","745016","directed"
"131517","513085","directed"
"405789","513827","directed"
"908535","868942","directed"
